Date,Open,High,Low,Close,Adj Close,Volume
2020-02-21,65.980003,67.000000,64.949997,66.239998,65.328224,52300
2020-02-24,57.930000,58.520000,56.349998,56.520000,55.742020,136100
2020-02-25,58.549999,58.639999,53.599998,54.130001,53.384918,70300
2020-02-26,55.470001,57.369999,53.799999,53.799999,53.059460,106800
2020-02-27,50.439999,51.560001,47.709999,48.400002,47.733791,213200
2020-02-28,39.880001,42.470001,38.459999,41.700001,41.126015,304000
2020-03-02,42.330002,43.720001,40.000000,43.490002,42.891376,255500
2020-03-03,44.549999,46.040001,40.000000,41.200001,40.632896,285800
2020-03-04,44.500000,45.500000,43.270000,44.900002,44.281967,157400
2020-03-05,42.279999,42.689999,38.639999,39.090000,38.551937,248200
2020-03-06,36.880001,37.119999,35.459999,36.660000,36.155388,182600
2020-03-09,21.820000,22.660000,17.500000,18.250000,17.998795,1582200
2020-03-10,23.219999,23.469999,20.690001,23.070000,22.752449,785400
2020-03-11,20.639999,20.709999,17.780001,18.959999,18.699020,988300
2020-03-12,14.510000,15.690000,12.380000,12.390000,12.219456,1621500
2020-03-13,15.440000,16.000000,13.300000,15.980000,15.760040,713500
2020-03-16,10.390000,12.620000,10.100000,10.110000,9.970839,1123600
2020-03-17,10.420000,11.610000,9.600000,11.170000,11.016249,516100
2020-03-18,7.520000,8.510000,5.660000,6.200000,6.114659,2270700
2020-03-19,7.380000,8.720000,6.720000,8.440000,8.323826,1423100
2020-03-20,9.180000,9.180000,7.720000,7.720000,7.613737,1171000
2020-03-23,8.110000,8.620000,7.650000,8.500000,8.383000,474700
2020-03-24,10.160000,10.540000,9.710000,10.480000,10.480000,827700
2020-03-25,10.200000,11.790000,9.290000,11.120000,11.120000,774200
2020-03-26,11.150000,12.000000,11.060000,11.970000,11.970000,558100
2020-03-27,9.640000,10.490000,9.300000,9.880000,9.880000,677900
2020-03-30,9.750000,10.170000,9.600000,10.140000,10.140000,579700
2020-03-31,10.690000,11.120000,10.350000,10.540000,10.540000,715400
2020-04-01,10.400000,10.630000,10.020000,10.140000,10.140000,467700
2020-04-02,10.620000,11.550000,10.360000,11.420000,11.420000,783200
2020-04-03,11.950000,12.040000,11.460000,11.810000,11.810000,739900
2020-04-06,12.160000,12.930000,12.130000,12.910000,12.910000,666000
2020-04-07,13.000000,13.070000,12.280000,12.390000,12.390000,808100
2020-04-08,12.770000,13.360000,12.770000,13.300000,13.300000,504600
2020-04-09,13.980000,14.550000,13.100000,13.200000,13.200000,1025700
2020-04-13,13.550000,13.670000,13.330000,13.590000,13.590000,306000
2020-04-14,13.890000,14.100000,13.350000,13.560000,13.560000,525000
2020-04-15,11.900000,12.020000,11.540000,11.760000,11.760000,444000
2020-04-16,12.330000,12.400000,11.800000,12.030000,12.030000,281600
2020-04-17,12.400000,12.570000,12.190000,12.530000,12.530000,338900
2020-04-20,11.780000,12.160000,11.500000,11.520000,11.520000,498200
2020-04-21,10.610000,11.150000,10.500000,10.900000,10.900000,1227900
2020-04-22,11.970000,12.070000,11.690000,11.990000,11.990000,625600
2020-04-23,12.640000,12.950000,12.230000,12.370000,12.370000,846600
2020-04-24,12.740000,12.750000,12.190000,12.440000,12.440000,405000
2020-04-27,12.420000,12.790000,12.350000,12.720000,12.720000,362400
2020-04-28,13.340000,13.340000,12.770000,12.820000,12.820000,424000
2020-04-29,13.680000,14.100000,13.620000,14.020000,14.020000,396300
2020-04-30,13.400000,13.660000,12.710000,13.210000,13.210000,477500
2020-05-01,12.690000,12.820000,12.280000,12.330000,12.330000,438900
2020-05-04,12.740000,13.140000,12.550000,13.130000,13.130000,380700
2020-05-05,13.410000,13.550000,13.270000,13.400000,13.400000,339000
2020-05-06,13.130000,13.200000,12.800000,13.020000,13.020000,484000
2020-05-07,13.280000,13.560000,13.030000,13.150000,13.150000,303700
2020-05-08,13.550000,13.820000,13.480000,13.680000,13.680000,335800
2020-05-11,13.270000,13.470000,13.130000,13.200000,13.200000,221400
2020-05-12,13.540000,13.770000,13.260000,13.280000,13.280000,348200
2020-05-13,13.250000,13.280000,12.520000,12.690000,12.690000,290000
2020-05-14,12.430000,13.300000,12.320000,13.290000,13.290000,336700
2020-05-15,13.050000,13.230000,12.920000,13.020000,13.020000,232300
2020-05-18,14.020000,14.400000,13.930000,14.310000,14.310000,504400
2020-05-19,14.340000,14.540000,14.210000,14.220000,14.220000,551800
2020-05-20,15.360000,15.480000,15.220000,15.360000,15.360000,523200
2020-05-21,15.350000,15.360000,14.780000,15.080000,15.080000,413800
2020-05-22,14.660000,14.780000,14.480000,14.760000,14.760000,183600
2020-05-26,15.820000,15.880000,15.240000,15.250000,15.250000,648900
2020-05-27,15.180000,15.460000,14.730000,15.430000,15.430000,623300
2020-05-28,15.640000,16.190001,15.520000,15.600000,15.600000,677500
2020-05-29,15.190000,15.580000,14.970000,15.430000,15.430000,551600
2020-06-01,15.720000,16.330000,15.620000,16.299999,16.299999,671000
2020-06-02,16.530001,16.850000,16.410000,16.830000,16.830000,838700
2020-06-03,16.900000,17.330000,16.820000,17.250000,17.250000,958000
2020-06-04,16.150000,16.340000,15.850000,16.049999,16.049999,1015300
2020-06-05,16.870001,17.000000,16.530001,16.590000,16.590000,615200
2020-06-08,17.020000,17.190001,16.600000,17.190001,17.190001,595600
2020-06-09,16.690001,16.980000,16.530001,16.889999,16.889999,526600
2020-06-10,16.750000,17.170000,16.500000,16.940001,16.940001,677000
2020-06-11,15.930000,16.110001,15.090000,15.110000,15.110000,721700
